ano;mês;selic
1900;1;0.020881809
1996;6;0.017593644
1996;7;0.018776057
1996;8;0.019040539
1996;9;0.017731114
1996;10;0.018952462
1996;11;0.018046521
1996;12;0.016521266
1997;1;0.019540312
1997;2;0.018162814
1997;3;0.016597781
1997;4;0.01664644
1997;5;0.016067829
1997;6;0.014630103
1997;7;0.015857798
1997;8;0.015175409
1997;9;0.014637205
1997;10;0.031912151
1997;11;0.02835654
1997;12;0.026874402
1998;1;0.024816344
1998;3;0.020458515
1998;4;0.017511063
1998;5;0.016172666
1998;6;0.015626211
1998;7;0.014779143
1998;9;0.023823874
1998;10;0.029725023
1998;11;0.025279743
1998;12;0.021585399
1999;1;0.026793444
1999;3;0.031418345
1999;4;0.024637989
1999;5;0.017648656
1999;6;0.015927862
1999;7;0.014963335
1999;9;0.014789602
1999;10;0.014509275
1999;11;0.014594582
1999;12;0.014601687
2000;1;0.014509275
2000;2;0.014516387
2000;3;0.014559047
2000;4;0.014281404
2000;5;0.014167257
2000;6;0.013421836
2000;7;0.012815331
2000;8;0.012837061
2000;9;0.012880506
2000;10;0.012851545
2000;11;0.01272111
2000;12;0.012270413
2001;1;0.011854106
2001;2;0.011861426
2001;3;0.012328691
2001;4;0.012663079
2001;5;0.012996257
2001;6;0.014110131
2001;7;0.014573262
2001;8;0.014630103
2001;9;0.014651409
2001;10;0.014637205
2001;11;0.014637205
2001;12;0.014637205
2002;1;0.014637205
2002;2;0.014459476
2002;3;0.014210079
2002;4;0.014138698
2002;5;0.013938538
2002;6;0.014174395
2002;7;0.013788133
2002;8;0.0137953
2002;9;0.0138168
2002;10;0.015941868
2002;11;0.01663949
2002;12;0.018701322
2003;1;0.019013448
2003;2;0.019648018
2003;3;0.019661472
2003;4;0.019661472
2003;5;0.019627832
2003;6;0.019270499
2003;7;0.018306268
2003;8;0.016597781
2003;9;0.015196589
2003;10;0.014487936
2003;11;0.013400244
2003;12;0.01267759
2004;1;0.012663079
2004;2;0.012648566
2004;3;0.012510574
2004;4;0.012299557
2004;5;0.012292271
2004;6;0.012292271
2004;7;0.012321408
2004;8;0.012372376
2004;9;0.012612272
2004;10;0.012981796
2004;11;0.013335437
2004;12;0.013702076
2005;1;0.014067262
2005;2;0.014423889
2005;3;0.014772051
2005;4;0.014963335
2005;5;0.015133033
2005;6;0.015118903
2005;7;0.015133033
2005;8;0.015125968
2005;9;0.014942101
2005;10;0.014587476
2005;11;0.014238616
2005;12;0.01388843
2006;1;0.013357044
2006;3;0.012808087
2006;4;0.012226679
2006;5;0.011846785
2006;7;0.011472666
2006;8;0.0111044
2006;10;0.010734651
2006;11;0.010378288
2007;1;0.010184679
2007;3;0.00999813
2007;4;0.009811202
2007;6;0.0094362
2007;7;0.00905966
2007;9;0.008870808
2007;10;0.008870808
2007;12;0.008870808
2008;1;0.008870808
2008;3;0.008870808
2008;4;0.009210461
2008;6;0.009616393
2008;7;0.010177224
2008;9;0.010727241
2008;10;0.01071983
2008;12;0.010727241
2009;1;0.00998319
2009;3;0.008855683
2009;4;0.008096238
2009;6;0.007330446
2009;7;0.006937413
2009;9;0.006937413
2009;10;0.006937413
2009;12;0.006937413
2010;1;0.006937413
2010;3;0.006937413
2010;4;0.007514821
2010;6;0.008096238
2010;7;0.008476747
2010;9;0.008476747
2010;10;0.008476747
2010;12;0.008476747
2011;1;0.008863246
2011;3;0.009240592
2011;4;0.009428685
2011;6;0.009616393
2011;7;0.009803717
2011;8;0.009413651
2011;10;0.009037018
2011;11;0.008658832
2012;1;0.008279079
2012;3;0.007706484
2012;4;0.007130287
2012;5;0.006736392
2012;7;0.006348568
2012;8;0.005959092
2012;10;0.00576373
2012;11;0.00576373
2013;1;0.005748083
2013;3;0.005779375
2013;4;0.005966898
2013;5;0.00635634
2013;7;0.006744132
2013;8;0.007130287
2013;10;0.007514821
2013;11;0.007897747
2014;1;0.008279079
2014;2;0.008469152
2014;4;0.008658832
2014;5;0.008658832
2014;7;0.008658832
2014;9;0.008658832
2014;10;0.00884812
2014;12;0.009225528
2015;1;0.00960139
2015;3;0.009975719
2015;4;0.010348528
2015;6;0.01071983
2015;7;0.011089638
2015;9;0.011089638
2015;10;0.011089638
2015;11;0.011089638
2016;1;0.011089638
2016;3;0.011089638
2016;4;0.011089638
2016;6;0.011089638
2016;7;0.011089638
2016;8;0.011089638
2016;10;0.01090492
2016;11;0.01071983
2017;1;0.010162313
2017;2;0.00960139
2017;4;0.00884812
2017;5;0.008088611
2017;7;0.007322756
2017;9;0.006550441
2017;10;0.005966898
2017;12;0.00557579
2018;2;0.005379607
2018;3;0.005183001
2018;5;0.005183001
2018;6;0.005183001
2018;8;0.005183001
2018;9;0.005183001
2018;10;0.005183001
2018;12;0.005183001
2019;2;0.005183001
2019;3;0.005183001
2019;5;0.005183001
2019;6;0.005183001
2019;7;0.004788517
2019;9;0.004392322
2019;10;0.003994401
2019;12;0.003594736
2020;2;0.003394246
2020;3;0.002991938
2020;5;0.002385128
2020;6;0.00177425
2020;8;0.00156971
2020;9;0.00156971
2020;10;0.00156971
2020;12;0.00156971
2021;1;0.00156971
2021;3;0.002181957
2021;5;0.002790116
2021;6;0.003394246
2021;8;0.004193578
2021;9;0.004985972
2021;10;0.006161826
2021;12;0.007322756
2022;2;0.008469152
2022;3;0.009225528
2022;5;0.009975719
2022;6;0.010348528
2022;8;0.01071983
2022;9;0.01071983
2022;10;0.01071983
2022;12;0.01071983
2023;2;0.01071983
2023;3;0.01071983
